TIMS ID,Category,Item Status,UNSPSC,Minimum Sell Quantity,,,,,
3MR6897,Respiratory Accessories,Active,46182000,1,,,,,
3MR6898,Respiratory Accessories,Active,46182000,1,,,,,
3MR6900,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6900DIN,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6900PF,PAPR,Active,46182000,1,,,,,
3MR69097,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR701,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR7093,"APR Masks, Cartridges & Filters",Active,46182005,12,,,,,
3MR7093-B,"APR Masks, Cartridges & Filters",Active,46182005,144,,,,,
3MR7093C,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR7093CB,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR7283,Respiratory Accessories,Active,46182000,10,,,,,
3MR7501,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR7502,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR7503,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR7572,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR7581,Respiratory Accessories,Active,46182000,1,,,,,
3MR7582,Respiratory Accessories,Active,46182000,1,,,,,
3MR7583,Respiratory Accessories,Active,46182000,1,,,,,
3MR7586,Respiratory Accessories,Active,46182000,1,,,,,
3MR7800S-L,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR7800S-M,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR7800S-S,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR7882,Respiratory Accessories,Active,46182000,1,,,,,
3MR7884,Respiratory Accessories,Active,46182000,1,,,,,
3MR7885,Respiratory Accessories,Active,46182000,1,,,,,
3MR7886,Respiratory Accessories,Active,46182000,1,,,,,
3MR7890,Respiratory Accessories,Active,46182000,1,,,,,
3MR7893S,Respiratory Accessories,Active,46182000,1,,,,,
3MR7895,Respiratory Accessories,Active,46182000,1,,,,,
3MR7899-100,Respiratory Accessories,Active,46182000,1,,,,,
3MR7899-25,Respiratory Accessories,Active,46182000,1,,,,,
3MR7916-5,Respiratory Accessories,Active,46182000,1,,,,,
3MR7990,Respiratory Accessories,Active,46182000,1,,,,,
3MR7999,Respiratory Accessories,Active,46182000,1,,,,,
3MR8110S,Disposable Masks,Active,46182001,20,,,,,
3MR8200,Disposable Masks,Active,46182001,20,,,,,
3MR8210,Disposable Masks,Active,46182001,20,,,,,
3MR8210PLUS,Disposable Masks,Active,46182001,20,,,,,
3MR8210PLUSPRO,Disposable Masks,Active,46182001,1,,,,,
3MR8210V,Disposable Masks,Active,46182001,10,,,,,
3MR8211,Disposable Masks,Active,46182001,10,,,,,
3MR8212,Disposable Masks,Active,46182001,10,,,,,
3MR8214,Disposable Masks,Active,46182001,10,,,,,
3MR8233,Disposable Masks,Active,46182001,1,,,,,
3MR8240,Disposable Masks,Active,46182001,20,,,,,
3MR8246,Disposable Masks,Active,46182001,20,,,,,
3MR8247,Disposable Masks,Active,46182001,20,,,,,
3MR8271,Disposable Masks,Active,46182001,10,,,,,
3MR8293,Disposable Masks,Active,46182001,1,,,,,
3MR8293Q,Disposable Masks,Active,46182001,20,,,,,
3MR8510,Disposable Masks,Active,46182001,10,,,,,
3MR8511,Disposable Masks,Active,46182001,10,,,,,
3MR8511PRO,Disposable Masks,Active,46182001,1,,,,,
3MR8512,Disposable Masks,Active,46182001,10,,,,,
3MR8514,Disposable Masks,Active,46182001,10,,,,,
3MR8515,Disposable Masks,Active,46182001,10,,,,,
3MR8516,Disposable Masks,Active,46182001,10,,,,,
3MR8576,Disposable Masks,Active,46182001,10,,,,,
3MR8577,Disposable Masks,Active,46182001,10,,,,,
3MR9105,Disposable Masks,Active,46182001,50,,,,,
3MR9105S,Disposable Masks,Active,46182001,50,,,,,
3MR9210,Disposable Masks,Active,46182001,20,,,,,
3MR9211,Disposable Masks,Active,46182001,10,,,,,
3MRAS-110-2,PAPR,Active,46182000,2,,,,,
3MRAS-115,PAPR,Active,46182000,1,,,,,
3MRAS-120-10,PAPR,Active,46182000,1,,,,,
3MRAS-140-25,PAPR,Active,46182000,1,,,,,
3MRAS-140-5,PAPR,Active,46182000,1,,,,,
3MRAS-150,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRAS-400LBC,PAPR,Active,46182000,1,,,,,
3MRAS-600LBC,PAPR,Active,46182000,1,,,,,
3MRAS131-10,PAPR,Active,46182000,1,,,,,
3MRAS170,Respiratory Accessories,Active,46182000,1,,,,,
3MRBC-210,PAPR,Active,46182000,1,,,,,
3MRBE-10-20,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRBE-10-3,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRBE-10L-3,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRBE-12-3,PAPR,Active,46182000,1,,,,,
3MRBE-12L,PAPR,Active,46182000,1,,,,,
3MRBE-12L-3,PAPR,Active,46182000,1,,,,,
3MRBE-224,PAPR,Active,46182000,1,,,,,
3MRBE-324,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRBP-15,PAPR,Active,46182000,1,,,,,
3MRBP-17IS,PAPR,Active,46182000,1,,,,,
3MRBPK-01,PAPR,Active,46182000,1,,,,,
3MRBT-20L,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRBT-20S,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRBT-30,Respiratory Accessories,Active,46182000,1,,,,,
3MRBT-40,Respiratory Accessories,Active,46182000,1,,,,,
3MRC-FL550DD/P,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRC-PD914DD,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRCB-1000,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRDH540,Furniture & Equipment,Active,46182200,6,,,,,
3MRFF-401,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MRFF-402,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MRFF-403,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MRFR-57L10,PAPR,Active,46182000,1,,,,,
3MRFR-57N10,PAPR,Active,46182000,1,,,,,
3MRFT-10,Respiratory Accessories,Active,46182000,1,,,,,
3MRFT-11,Respiratory Accessories,Active,46182000,1,,,,,
3MRFT-12,Respiratory Accessories,Active,46182000,1,,,,,
3MRFT-13,Respiratory Accessories,Active,46182000,3,,,,,
3MRFT-14,Respiratory Accessories,Active,46182000,2,,,,,
3MRFT-15,Respiratory Accessories,Active,46182000,1,,,,,
3MRFT-30,Respiratory Accessories,Active,46182000,1,,,,,
3MRFT-31,Respiratory Accessories,Active,46182000,1,,,,,
3MRFT-32,Respiratory Accessories,Active,46182000,1,,,,,
3MRGVP-1,PAPR,Active,46182000,1,,,,,
3MRGVP-100,PAPR,Active,46182000,1,,,,,
3MRGVP-101,PAPR,Active,46182000,10,,,,,
3MRGVP-110,PAPR,Active,46182000,1,,,,,
3MRGVP-111,PAPR,Active,46182000,1,,,,,
3MRGVP-112,PAPR,Active,46182000,1,,,,,
3MRGVP-113,PAPR,Active,46182000,1,,,,,
3MRGVP-114,PAPR,Active,46182000,1,,,,,
3MRGVP-115,PAPR,Active,46182000,1,,,,,
3MRGVP-116,PAPR,Active,46182000,10,,,,,
3MRGVP-117,PAPR,Active,46182000,1,,,,,
3MRGVP-118,PAPR,Active,46182000,1,,,,,
3MRGVP-119,PAPR,Active,46182000,5,,,,,
3MRGVP-122,PAPR,Active,46182000,1,,,,,
3MRGVP-123,PAPR,Active,46182000,1,,,,,
3MRGVP-127,PAPR,Active,46182000,1,,,,,
3MRGVP-128,PAPR,Active,46182000,1,,,,,
3MRGVP-146,Respiratory Accessories,Active,46182000,1,,,,,
3MRGVP-1NIMH,PAPR,Active,46182000,1,,,,,
3MRGVP-1U,PAPR,Active,46182000,1,,,,,
3MRGVP-210,PAPR,Active,46182000,1,,,,,
3MRGVP-401,PAPR,Active,46182000,1,,,,,
3MRGVP-402,PAPR,Active,46182000,1,,,,,
3MRGVP-403,PAPR,Active,46182000,6,,,,,
3MRGVP-404,PAPR,Active,46182000,1,,,,,
3MRGVP-405,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRGVP-440,PAPR,Active,46182000,1,,,,,
3MRGVP-441,PAPR,Active,46182000,1,,,,,
3MRGVP-442,PAPR,Active,46182000,6,,,,,
3MRGVP-443,PAPR,Active,46182000,1,,,,,
3MRGVP-444,Supplied Air Systems & Parts,Active,46182000,6,,,,,
3MRGVP-445,Supplied Air Systems & Parts,Active,46182000,6,,,,,
3MRGVP-CB,PAPR,Active,46182000,1,,,,,
3MRGVP-CBNIMH,PAPR,Active,46182000,1,,,,,
3MRGVP-PSK,PAPR,Active,46182000,1,,,,,
3MRH-110-10,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRH-111-100,Supplied Air Systems & Parts,Active,46182000,25,,,,,
3MRH-113-2,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRH-114-2,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRH-115,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRH-120,Respiratory Accessories,Active,46182000,1,,,,,
3MRH-213-2,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRH-410-10,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRH-412,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRH-420-10,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRH-610-5,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRHP-100,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRHP-156,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRHP-157,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRHP-255,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRL-113-2,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-115-10,Supplied Air Systems & Parts,Active,46182000,10,,,,,
3MRL-116-2,Supplied Air Systems & Parts,Active,46182000,2,,,,,
3MRL-117-2,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-120-5,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-121-5,Supplied Air Systems & Parts,Active,46182000,5,,,,,
3MRL-122,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-123-2,Supplied Air Systems & Parts,Active,46182000,2,,,,,
3MRL-124-5,Supplied Air Systems & Parts,Active,46182000,5,,,,,
3MRL-125-2,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-127,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-128-2,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-129-2,Flame Retardant Clothing,Active,46181508,1,,,,,
3MRL-130,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-131-10,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-132-10,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-133-100,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-133-25,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-137,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-141,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-146,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-153,Welding Helmet - Passive,Active,46181700,1,,,,,
3MRL-156,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-163,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-170,Respiratory Accessories,Active,46182000,1,,,,,
3MRL-199SG,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-501,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-701,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-705,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-705SG,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-705SG-F,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-901,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-901SG,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-905,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-905SG,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRL-905SG-F,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRM-105,Respiratory Accessories,Active,46182000,1,,,,,
3MRM-107,Respiratory Accessories,Active,46182000,1,,,,,
3MRM-170,Respiratory Accessories,Active,46182000,1,,,,,
3MRM-305,Respiratory Accessories,Active,46182000,1,,,,,
3MRM-307,Respiratory Accessories,Active,46182000,1,,,,,
3MRM-405,Respiratory Accessories,Active,46182000,1,,,,,
3MRM-407,Respiratory Accessories,Active,46182000,1,,,,,
3MRM-976,Respiratory Accessories,Active,46182000,1,,,,,
3MRM-DC22DD,Spill Control & Containment,Active,47131900,25,,,,,
3MRM-FL550DD/M,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRM-MB304,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRM-MB308,Sorbents & Clean-Up,Active,47121700,6,,,,,
3MRM-MB312,Sorbents & Clean-Up,Active,47121700,4,,,,,
3MRM-PD1520DD/M,Sorbents & Clean-Up,Active,47121700,100,,,,,
3MRM-PD720GG,Sorbents & Clean-Up,Active,47121700,100,,,,,
3MRM-PL715,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRM-RL15150DDM,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRM-RL38150DDM,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRNI-100,Other Instruments & Accessories,Active,41111900,1,,,,,
3MRNI-CHG,Other Instruments & Accessories,Active,41111900,1,,,,,
3MROAC100,Ventilation,Active,40101500,1,,,,,
3MROAC100RF,Ventilation,Active,40101500,6,,,,,
3MROAC200,Ventilation,Active,40101500,1,,,,,
3MROAC200-RF,Ventilation,Active,40101500,6,,,,,
3MRP-110,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRP-200,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRP-208,Sorbents & Clean-Up,Active,47121700,6,,,,,
3MRP-212,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRP-300,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRP-500,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRP-FL550DD/T,Sorbents & Clean-Up,Active,47121700,1,,,,,
3MRQC10,Other Instruments & Accessories,Active,41111900,1,,,,,
3MRR-1271,Earplugs,Planned Termination,46181901,1,,,,,
3MRS-103L-20,Respiratory Accessories,Active,46182000,1,,,,,
3MRS-103S-20,Respiratory Accessories,Active,46182000,1,,,,,
3MRS-133L-5,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRS-133LB-5,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRS-133S-5,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRS-133SB-5,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRS-333L,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRS-333S,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRS-403L-20,PAPR,Active,46182000,1,,,,,
3MRS-403S-20,Respiratory Accessories,Active,46182000,1,,,,,
3MRS-433L-5,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRS-433S-5,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRS-533L,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRS-533S,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MRS-605-10,Supplied Air Systems & Parts,Active,46182000,1,,,,,
